360.000000 -2778.000000 -168.500000 0
348.000000 -2654.000000 -168.500000 0
-2347.000000 -2203.500000 -213.000000 1
-2439.000000 -2089.500000 -213.000000 1
-2535.000000 -2199.500000 -213.000000 1
-2625.000000 -2100.500000 -213.000000 1
-2743.000000 -2200.500000 -213.000000 1
-2867.000000 -2081.500000 -213.000000 1
-3114.000000 -2086.500000 -213.000000 1
-3236.000000 -1993.500000 -213.000000 1
-3240.000000 -1731.500000 -213.000000 1
-3183.000000 -1857.500000 -213.000000 1
-3194.000000 277.500000 -220.000000 0
-2316.500000 1761.000000 -211.500000 0
-3001.000000 -2187.500000 -213.000000 1
