"CypryS" "CypryS" "270079136" "364640224" "288218432" "5" "67"
"Urs" "Urs" "267241728" "359200608" "292983776" "7" "86"
"knife" "knife" "264900448" "332419680" "292934592" "7" "30"
"Bidi" "Bidi" "263986688" "355764608" "286089760" "7" "62"
"IrreguLar" "IrreguLar" "260413824" "338755104" "286513056" "8" "84"
"Aro" "Aro" "259993376" "337948192" "283310848" "6" "81"
"Scooby69" "Scooby69" "259514288" "328518240" "297505920" "7" "67"
"good" "good" "254510256" "338576096" "276417440" "6" "84"
"Sol" "Sol" "252446048" "322881376" "284827744" "7" "47"
"wZoo" "wZoo" "252304528" "311047712" "289210432" "6" "25"
"LoLz" "LoLz" "250444736" "331362080" "284464992" "6" "52"
"Mvrdar" "Mvrdar" "249353200" "321652128" "276387904" "7" "71"
"Joker$*" "Joker$*" "248291872" "333944512" "275308416" "7" "67"
"Pyky" "Pyky" "244856832" "332742080" "274011520" "6" "77"
"strange.- Ioana <3" "strange.- Ioana <3" "243534784" "314168192" "265631712" "7" "65"
"-Eq- George" "-Eq- George" "242727360" "295995936" "270374720" "5" "56"
"Mili, Mili" "Mili, Mili" "238227696" "309479488" "260730992" "7" "64"
"AnduXIK" "AnduXIK" "226780272" "295579104" "236934512" "6" "36"
"william." "william." "223059296" "289712416" "232347552" "6" "89"
"EvolGeniuS - ThE king#" "EvolGeniuS - ThE king#" "219093344" "271801408" "241399616" "9" "28"
